ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
1,Telangana,Hyderabad,Locality C,Independent House,3,1360,118.02,8678.15,2008,Unfurnished,4,12,17,5,7,2,2,None,Clubhouse,South,Individual,Under Construction
2,Telangana,Hyderabad,Locality A,Apartment,2,3985,202.87,5090.95,2011,Fully-Furnished,10,20,14,5,1,4,0,Guard,Pool,South,Agent,Under Construction
3,Delhi,New Delhi,Locality A,Independent House,4,2399,181.23,7554.49,1996,Semi-Furnished,4,18,29,3,5,3,0,CCTV,Pool,North,Builder,Ready to Move
4,Karnataka,Mysore,Locality B,Villa,4,2639,124.88,4732.23,2006,Semi-Furnished,10,8,19,8,3,2,1,CCTV,Gym,East,Builder,Under Construction
5,Telangana,Hyderabad,Locality B,Independent House,2,661,61.93,9368.96,2010,Unfurnished,13,13,15,8,7,4,0,Gated,Clubhouse,North,Individual,Ready to Move
6,Maharashtra,Mumbai,Locality A,Villa,3,2527,131.23,5193.05,2022,Fully-Furnished,9,11,3,8,3,3,2,Gated,None,West,Builder,Ready to Move
7,Tamil Nadu,Chennai,Locality A,Apartment,3,3231,238.04,7367.46,2003,Semi-Furnished,14,11,22,3,5,3,2,Guard,Gym,East,Agent,Under Construction
8,Karnataka,Mysore,Locality A,Independent House,3,1984,83.1,4188.58,2021,Fully-Furnished,13,19,4,7,1,4,1,Guard,Gym,West,Individual,Under Construction
9,Delhi,New Delhi,Locality B,Independent House,4,3814,365.31,9578.19,2017,Semi-Furnished,7,5,8,9,5,2,1,Gated,Gym,East,Builder,Ready to Move
10,Telangana,Hyderabad,Locality A,Apartment,1,1472,85.8,5828.69,1998,Fully-Furnished,10,16,27,6,8,3,1,None,Clubhouse,East,Builder,Under Construction
11,Maharashtra,Mumbai,Locality A,Villa,1,2353,129.97,5523.49,2006,Semi-Furnished,5,5,19,7,2,3,2,Gated,Clubhouse,South,Builder,Ready to Move
12,Telangana,Hyderabad,Locality B,Villa,4,3277,146.98,4485.12,2013,Semi-Furnished,11,20,12,8,1,3,0,None,Gym,North,Agent,Under Construction
13,Tamil Nadu,Chennai,Locality A,Apartment,4,1159,93.48,8065.39,2008,Fully-Furnished,18,12,17,3,3,3,2,Gated,Clubhouse,West,Individual,Ready to Move
14,Karnataka,Bangalore,Locality B,Apartment,2,1938,107.51,5547.65,1991,Unfurnished,9,13,34,9,4,4,0,Guard,Clubhouse,West,Agent,Under Construction
15,Maharashtra,Nagpur,Locality A,Apartment,4,2148,201.73,9391.33,2014,Semi-Furnished,14,22,11,4,3,4,2,CCTV,Pool,East,Individual,Ready to Move
16,Telangana,Hyderabad,Locality C,Apartment,4,660,35.8,5423.49,1997,Unfurnished,16,16,28,5,4,4,2,Guard,Clubhouse,South,Agent,Under Construction
17,Tamil Nadu,Chennai,Locality A,Independent House,3,2985,197.2,6606.37,2022,Fully-Furnished,17,21,3,5,1,4,0,None,None,South,Individual,Under Construction
18,Tamil Nadu,Coimbatore,Locality A,Independent House,4,2646,108.29,4092.74,2020,Unfurnished,1,7,5,8,1,2,2,None,Pool,North,Builder,Ready to Move
